시도,시군구,total_recent_3m,total_recent_6m,개인간거래비중_최근3m,개인매수비중_최근3m,법인매수비중_최근3m,기타매수비중_최근3m,비개인매도물량_개인흡수비중_최근3m,개인간거래비중_최근6m,개인매수비중_최근6m,법인매수비중_최근6m,기타매수비중_최근6m,비개인매도물량_개인흡수비중_최근6m,개인간거래비중_변화_3mYoY,개인매수비중_변화_3mYoY,법인매수비중_변화_3mYoY,기타매수비중_변화_3mYoY,비개인매도물량_개인흡수비중_변화_3mYoY
충청남도,서천군,56.0,99.0,83.9,100.0,0.0,0.0,16.1,82.8,97.0,3.0,0.0,14.1,-13.0,0.0,0.0,0.0,13.000000000000002
전라남도,해남군,55.0,104.0,94.5,98.2,1.8,0.0,3.6,96.2,99.0,1.0,0.0,2.9,3.700000000000003,2.799999999999997,0.30000000000000004,-3.1,-0.9999999999999996
경상남도,고성군,54.0,113.0,88.9,98.1,1.9,0.0,9.3,87.6,99.1,0.9,0.0,11.5,-8.799999999999997,0.3999999999999915,1.9,-2.3,9.3
충청북도,옥천군,52.0,121.0,94.2,98.1,1.9,0.0,3.8,96.7,98.3,0.8,0.8,1.7,-0.09999999999999432,2.3999999999999915,-2.4,0.0,2.4
강원도,영월군,51.0,96.0,94.1,98.0,0.0,2.0,3.9,96.9,99.0,0.0,1.0,2.1,0.0,0.0,0.0,0.0,0.0
충청북도,영동군,51.0,82.0,94.1,94.1,5.9,0.0,0.0,89.0,96.3,3.7,0.0,7.3,6.299999999999997,-3.5,3.5000000000000004,0.0,-9.8
경상북도,울진군,47.0,106.0,61.7,83.0,0.0,17.0,21.3,55.7,92.5,0.0,7.5,36.8,-24.0,-17.0,0.0,17.0,7.0
강원도,고성군,44.0,83.0,97.7,97.7,2.3,0.0,0.0,96.4,98.8,1.2,0.0,2.4,5.200000000000003,-2.299999999999997,2.3,0.0,-7.5
경기도,연천군,42.0,76.0,95.2,100.0,0.0,0.0,4.8,94.7,100.0,0.0,0.0,5.3,-4.799999999999997,0.0,0.0,0.0,4.8
충청북도,보은군,41.0,67.0,61.0,97.6,0.0,2.4,36.6,67.2,97.0,0.0,3.0,29.9,34.5,58.99999999999999,-61.4,2.4,24.6
인천광역시,강화군,40.0,95.0,97.5,97.5,2.5,0.0,0.0,75.8,98.9,1.1,0.0,23.2,-0.5,-0.5,0.5,0.0,0.0
