시도,시군구,total_recent_3m,total_recent_6m,소형비중_최근3m,국민평형비중_최근3m,중대형비중_최근3m,대형비중_최근3m,소형비중_최근6m,국민평형비중_최근6m,중대형비중_최근6m,대형비중_최근6m,소형비중_변화_3mYoY,국민평형비중_변화_3mYoY,중대형비중_변화_3mYoY,대형비중_변화_3mYoY
서울특별시,강북구,269.0,586.0,42.8,50.6,6.7,0.0,46.6,46.8,6.7,0.0,-9.100000000000001,10.300000000000004,-1.0999999999999996,0.0
충청북도,음성군,269.0,511.0,55.8,42.8,1.5,0.0,59.3,39.1,1.6,0.0,-10.0,8.599999999999994,1.5,0.0
경상북도,칠곡군,263.0,535.0,58.2,40.3,1.5,0.0,57.2,40.6,1.7,0.6,6.400000000000006,-3.5,-2.5,-0.4
대구광역시,남구,257.0,444.0,27.2,62.3,9.7,0.8,27.3,62.6,8.3,1.8,-7.400000000000002,7.5,3.799999999999999,-4.0
서울특별시,광진구,256.0,856.0,48.4,35.9,7.8,7.8,36.3,50.4,7.8,5.5,9.600000000000001,-10.100000000000001,0.5999999999999996,-0.20000000000000018
경상북도,영천시,237.0,442.0,63.7,32.1,4.2,0.0,60.6,35.5,3.8,0.0,8.900000000000006,-8.600000000000001,-0.2999999999999998,0.0
경기도,동두천시,235.0,413.0,58.7,32.8,8.5,0.0,62.2,31.0,6.8,0.0,-0.09999999999999432,3.099999999999998,-2.3000000000000007,-0.7
부산광역시,서구,222.0,418.0,26.6,60.8,11.7,0.9,28.0,57.9,12.2,1.9,-1.0999999999999979,-1.5,3.0999999999999996,-0.4999999999999999
서울특별시,금천구,219.0,471.0,49.8,38.4,11.4,0.5,51.4,35.2,12.7,0.6,-1.7000000000000028,-2.3999999999999986,3.7,0.5
충청남도,계룡시,215.0,359.0,60.0,33.5,6.5,0.0,60.7,31.5,7.0,0.8,-6.5,10.8,-2.5999999999999996,-1.7
부산광역시,영도구,209.0,466.0,50.7,42.6,5.3,1.4,53.6,40.3,5.4,0.6,10.400000000000006,-7.799999999999997,-1.2000000000000002,-1.5
서울특별시,중구,203.0,551.0,53.2,30.5,13.3,3.0,40.8,36.3,18.7,4.2,6.900000000000006,-4.799999999999997,-3.5,1.4
경기도,여주시,198.0,393.0,41.9,52.0,5.6,0.5,48.1,48.1,3.3,0.5,-2.3999999999999986,-2.5,4.3999999999999995,0.5
경상남도,밀양시,196.0,373.0,32.1,64.3,1.5,2.0,34.0,62.7,1.9,1.3,-7.100000000000001,7.399999999999999,-2.4,2.0
경기도,포천시,193.0,362.0,56.5,43.0,0.5,0.0,55.2,41.7,3.0,0.0,-12.5,15.8,-2.0,-1.3
제주특별자치도,서귀포시,183.0,489.0,30.6,65.0,3.8,0.5,24.1,72.0,2.9,1.0,-5.899999999999999,4.399999999999999,1.5999999999999996,-0.19999999999999996
충청남도,보령시,178.0,367.0,46.1,49.4,3.4,1.1,45.8,47.4,5.7,1.1,-1.1000000000000014,-1.5,2.2,0.5000000000000001
부산광역시,동구,177.0,390.0,44.1,52.5,2.8,0.6,39.2,57.4,2.6,0.8,2.6000000000000014,-0.10000000000000142,-1.6000000000000005,-0.9
